  dataset        a        v       t0      st0  penalty      fit     time   method
 subj_100_trials_10   1.9716   4.2564   0.3091   0.0001   0.0000  -9.1758   0.0160       ML
 subj_100_trials_20   1.7211   2.4496   0.3097   0.0001   0.0000  -5.2524   0.0150       ML
 subj_100_trials_30   1.1148   3.0283   0.3086   0.0814   0.0000 -22.6233   0.0380       ML
 subj_100_trials_40   1.0711   3.3500   0.3326   0.1217   0.0000 -33.2150   0.0620       ML
 subj_100_trials_50   1.4101   2.5851   0.3306   0.0000   0.0000 -23.0675   0.0380       ML
 subj_100_trials_60   1.2824   4.2174   0.3439   0.1106   0.0000 -62.2763   0.1000       ML
 subj_101_trials_10   1.9746   4.2430   0.3092   0.0001   0.0000  -9.1289   0.0000       ML
 subj_101_trials_20   0.6460   2.5503   0.3042   0.0000   0.0000 -22.5647   0.0160       ML
 subj_101_trials_30   1.2952   0.8935   0.3487   0.0000   0.0000  14.1017   0.0310       ML
 subj_101_trials_40   1.1543   4.3886   0.3500   0.1535   0.0000 -40.3071   0.0730       ML
 subj_101_trials_50   1.3216   3.9234   0.3749   0.1933   0.0000 -38.7970   0.1010       ML
 subj_101_trials_60   0.8272   1.1866   0.3077   0.0000   0.0000 -21.3065   0.0320       ML
 subj_102_trials_10   0.8192   0.9747   0.3067   0.0000   0.0000  -2.7378   0.0160       ML
 subj_102_trials_20   1.6084   1.6822   0.2682   0.0002   0.0000   3.7898   0.0000       ML
 subj_102_trials_30   0.8465   3.8510   0.3210   0.0830   0.0000 -34.9229   0.0310       ML
 subj_102_trials_40   1.1323   3.0249   0.3220   0.0000   0.0000 -32.7152   0.0320       ML
 subj_102_trials_50   0.9958   2.7458   0.2985   0.0001   0.0000 -39.7554   0.0370       ML
 subj_102_trials_60   0.8257   1.6305   0.3061   0.0001   0.0000 -30.7207   0.0320       ML
 subj_103_trials_10   1.0717   0.7455   0.3116   0.0002   0.0000   2.6357   0.0150       ML
 subj_103_trials_20   0.8533   3.3868   0.3128   0.0827   0.0000 -20.2881   0.0160       ML
 subj_103_trials_30   1.1525   5.0688   0.3905   0.1946   0.0000 -31.3166   0.0690       ML
 subj_103_trials_40   1.2037   4.6175   0.3669   0.1468   0.0000 -43.7723   0.0690       ML
