  dataset        a        v       t0  penalty      fit     time   method
 par_sim1   1.1825   1.5492   0.5615   0.0000  -2.2874   0.0010       ML
 par_sim10   1.5295   0.3689   0.4254   0.0000  49.6463   0.0010       ML
 par_sim100   1.2979   1.2371   0.3503   0.0000  13.7460   0.0010       ML
 par_sim1000   1.4140   0.8049   0.3986   0.0000  31.9868   0.0010       ML
 par_sim1001   1.2193   0.4606   0.4629   0.0000  27.2518   0.0010       ML
 par_sim1002   1.7735   0.0886   0.4272   0.0000  67.5404   0.0020       ML
 par_sim1003   0.9616   2.2170   0.6012   0.0000 -29.2472   0.0010       ML
 par_sim1004   1.4073   0.7647   0.5827   0.0000  30.4067   0.0020       ML
 par_sim1005   1.7459   0.4695   0.4612   0.0000  60.0403   0.0010       ML
 par_sim1006   1.5623   0.3703   0.2808   0.0000  49.8040   0.0010       ML
 par_sim1007   1.6052   1.1896   0.5088   0.0000  27.8459   0.0010       ML
 par_sim1008   1.3233   0.5109   0.4772   0.0000  31.1841   0.0020       ML
 par_sim1009   1.2651   0.9643   0.5156   0.0000  20.1239   0.0020       ML
 par_sim101   1.6076   0.8643   0.5009   0.0000  38.6640   0.0010       ML
 par_sim1010   1.1868   1.5461   0.4376   0.0000  -2.0911   0.0020       ML
 par_sim1011   1.3229   0.4471   0.3918   0.0000  31.6036   0.0020       ML
 par_sim1012   1.3545   1.5525   0.5285   0.0000   6.1958   0.0020       ML
 par_sim1013   1.1089   1.0142   0.7834   0.0000   8.4631   0.0020       ML
 par_sim1014   1.4059   0.8821   0.5493   0.0000  29.5088   0.0020       ML
 par_sim1015   1.7547   1.1177   0.5341   0.0000  34.9349   0.0010       ML
 par_sim1016   1.2209   1.2193   0.6472   0.0000   9.8399   0.0010       ML
 par_sim1017   1.6551   0.4508   0.5505   0.0000  54.2947   0.0010       ML
 par_sim1018   1.2565   0.8354   0.4061   0.0000  20.9890   0.0020       ML
 par_sim1019   1.8900   0.7864   0.7155   0.0000  53.6413   0.0020       ML
 par_sim102   1.3408   0.9595   0.4977   0.0000  22.0676   0.0020       ML
 par_sim1020   1.4362   0.2257   0.4655   0.0000  44.1224   0.0010       ML
 par_sim1021   1.2546   0.7541   0.4655   0.0000  22.6359   0.0010       ML
 par_sim1022   1.6292   0.9967   0.4281   0.0000  35.6162   0.0010       ML
