  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject1   1.3424   2.9860   0.3113   5.9454   0.3176   0.0000 -74.7244   0.0050       ML
 cueing_DDM_subject10   4.6728   9.9384   0.2793  11.3467   0.2519   0.0000 -110.7350   0.0080       ML
 cueing_DDM_subject100   1.1550   3.3591   0.3845   5.1763   0.3223   0.0000 -76.5325   0.0030       ML
 cueing_DDM_subject102  10.0000   9.9169   0.0833  15.2689   0.1398   0.0000 -95.8931   0.0060       ML
 cueing_DDM_subject103   1.0024   4.8483   0.3697   5.8646   0.3032   0.0000 -104.6912   0.0040       ML
 cueing_DDM_subject104   5.3543   8.4395   0.2177   6.0142   0.0365   0.0000 -64.5885   0.0050       ML
 cueing_DDM_subject105   0.9975   3.2470   0.4178   3.9751   0.3532   0.0000 -73.1052   0.0040       ML
 cueing_DDM_subject107   0.8050   1.9898   0.2472   2.9153   0.2549   0.0000 -54.3419   0.0050       ML
 cueing_DDM_subject108   8.4143   7.9751   0.1881   9.7871   0.1321   0.0000 -72.3481   0.0060       ML
 cueing_DDM_subject109   1.6041   3.1578   0.4017   2.2641   0.2425   0.0000 -26.6295   0.0040       ML
 cueing_DDM_subject11   1.6831   3.9605   0.3498   4.1467   0.2554   0.0000 -60.6926   0.0030       ML
 cueing_DDM_subject110   1.8143   4.6009   0.3942   4.8610   0.2531   0.0000 -70.7086   0.0030       ML
 cueing_DDM_subject113   6.3161   7.9642   0.1702   9.9439   0.1662   0.0000 -83.9407   0.0110       ML
 cueing_DDM_subject115   1.5802   5.5132   0.4096   6.3099   0.3187   0.0000 -96.6570   0.0050       ML
 cueing_DDM_subject116   0.9719   3.4252   0.3605   6.2848   0.3515   0.0000 -96.7403   0.0050       ML
 cueing_DDM_subject117   2.1361   2.5666   0.3744   2.8043   0.2946   0.0000 -14.4115   0.0030       ML
 cueing_DDM_subject118   9.6286  10.0042   0.0668  12.6128   0.0645   0.0000 -90.3873   0.0090       ML
 cueing_DDM_subject119   4.9653   8.9781   0.2621   9.3059   0.2115   0.0000 -94.5763   0.0070       ML
 cueing_DDM_subject12  10.0000  12.3001   0.1766  12.1844   0.1153   0.0000 -97.7590   0.0090       ML
 cueing_DDM_subject120   1.2442   2.6291   0.3236   3.8341   0.2888   0.0000 -53.9246   0.0060       ML
 cueing_DDM_subject121   1.4173   2.3035   0.3523   3.2603   0.3310   0.0000 -35.5220   0.0040       ML
 cueing_DDM_subject122   1.0943   4.2164   0.3986   3.8823   0.3255   0.0000 -77.4267   0.0050       ML
 cueing_DDM_subject123   0.9507   2.4778   0.3072   4.2896   0.3419   0.0000 -66.4232   0.0050       ML
 cueing_DDM_subject124   2.1659   3.6854   0.3211   5.2702   0.2884   0.0000 -58.0360   0.0040       ML
 cueing_DDM_subject125   1.2729   2.8875   0.3030   7.1338   0.3264   0.0000 -83.7894   0.0040       ML
 cueing_DDM_subject126   9.9807   9.4167   0.0000  16.3409   0.1722   0.0000 -96.4634   0.0110       ML
 cueing_DDM_subject127   1.5001   4.2222   0.4194   3.9229   0.3491   0.0000 -65.8104   0.0050       ML
 cueing_DDM_subject128   1.2154   2.8875   0.3128   4.5290   0.3032   0.0000 -66.9589   0.0060       ML
 cueing_DDM_subject129   1.5635   4.0237   0.4162   4.6388   0.3354   0.0000 -67.4714   0.0050       ML
 cueing_DDM_subject13   1.7962   3.8131   0.4263   4.4165   0.3811   0.0000 -58.7509   0.0050       ML
 cueing_DDM_subject130   1.1003   4.2987   0.4483   5.0941   0.4223   0.0000 -90.1069   0.0060       ML
 cueing_DDM_subject131   1.0654   5.2820   0.4099   6.4546   0.3777   0.0000 -111.5742   0.0080       ML
 cueing_DDM_subject132   1.8076   3.9888   0.3366   5.8459   0.2870   0.0000 -73.1510   0.0080       ML
 cueing_DDM_subject133   1.0311   3.5451   0.3377   3.9451   0.2957   0.0000 -73.9408   0.0060       ML
 cueing_DDM_subject134   1.1919   3.3325   0.3746   4.9353   0.3541   0.0000 -73.4568   0.0070       ML
