  dataset        a        v       t0      st0  penalty      fit     time   method
 subj_100_trials_10   0.9948   2.6228   0.3976   0.1305   0.0000   0.9998   0.0150       KS
 subj_100_trials_20   1.6275   2.5697   0.3109   0.1075   0.0000   0.9920   0.0470       KS
 subj_100_trials_30   1.2165   4.1583   0.3154   0.1508   0.0000   0.9997   0.0380       KS
 subj_100_trials_40   1.2123   4.3339   0.3307   0.1239   0.0000   0.9998   0.0470       KS
 subj_100_trials_50   1.0768   4.2088   0.4319   0.3075   0.0000   0.9784   0.0530       KS
 subj_100_trials_60   1.2176   4.5763   0.3563   0.1067   0.0000   0.9817   0.0160       KS
 subj_101_trials_10   1.0229   2.7104   0.3945   0.1327   0.0000   0.9998   0.0150       KS
 subj_101_trials_20   0.6913   2.8086   0.2924   0.0030   0.0000   0.9988   0.0190       KS
 subj_101_trials_30   1.4014   0.8590   0.3051   0.0375   0.0000   0.9997   0.0470       KS
 subj_101_trials_40   1.2006   5.6799   0.3649   0.1898   0.0000   0.9396   0.0530       KS
 subj_101_trials_50   1.0808   4.3842   0.4095   0.2252   0.0000   0.9696   0.0470       KS
 subj_101_trials_60   0.8917   1.2215   0.2868   0.0525   0.0000   0.9900   0.0170       KS
 subj_102_trials_10   0.7874   0.9568   0.2890   0.0375   0.0000   0.9825   0.0200       KS
 subj_102_trials_20   1.7466   1.7300   0.2027   0.0525   0.0000   0.9775   0.0490       KS
 subj_102_trials_30   0.9079   6.4178   0.3334   0.1149   0.0000   0.9997   0.0310       KS
 subj_102_trials_40   1.7845   4.4520   0.2798   0.1425   0.0000   0.9717   0.0530       KS
 subj_102_trials_50   0.9663   4.0732   0.3278   0.1892   0.0000   0.9997   0.0300       KS
 subj_102_trials_60   0.8546   1.6153   0.2963   0.0007   0.0000   0.9999   0.0540       KS
 subj_103_trials_10   1.0367   0.7795   0.2764   0.0558   0.0000   0.9832   0.0310       KS
 subj_103_trials_20   0.8492   5.2732   0.3269   0.1090   0.0000   0.9995   0.0310       KS
 subj_103_trials_30   0.8492   4.7580   0.4203   0.2166   0.0000   0.9635   0.0220       KS
 subj_103_trials_40   1.0249   5.2308   0.3980   0.1393   0.0000   0.9266   0.0160       KS
 subj_103_trials_50   0.6115   4.3063   0.3118   0.0815   0.0000   0.9997   0.0150       KS
 subj_103_trials_60   1.2757   2.3202   0.3246   0.2829   0.0000   0.9996   0.0690       KS
 subj_104_trials_10   0.7140   1.1052   0.2894   0.0048   0.0000   0.9833   0.0160       KS
 subj_104_trials_20   0.9402   2.4247   0.4554   0.3575   0.0000   1.0000   0.0470       KS
 subj_104_trials_30   1.3274   0.9058   0.3050   0.0375   0.0000   0.9997   0.0380       KS
 subj_104_trials_40   0.8252   0.8633   0.2914   0.0525   0.0000   0.9890   0.0310       KS
 subj_104_trials_50   1.7397   7.0139   0.3564   0.2039   0.0000   0.9982   0.0690       KS
 subj_104_trials_60   1.7887   0.9448   0.2664   0.1111   0.0000   0.9999   0.1000       KS
 subj_105_trials_10   1.0177   4.6384   0.3295   0.0612   0.0000   0.9998   0.0000       KS
 subj_105_trials_20   1.0050   4.2675   0.2931   0.1159   0.0000   0.9893   0.0310       KS
 subj_105_trials_30   0.7265   2.3742   0.3067   0.0655   0.0000   0.9996   0.0310       KS
 subj_105_trials_40   1.2430   3.3026   0.2670   0.0384   0.0000   0.9852   0.0160       KS
 subj_105_trials_50   0.8882   4.6340   0.3206   0.1535   0.0000   0.9997   0.0310       KS
 subj_105_trials_60   0.9079   4.9045   0.2884   0.0375   0.0000   0.9794   0.0320       KS
 subj_106_trials_10   0.9586   2.9623   0.3015   0.0013   0.0000   0.9822   0.0000       KS
 subj_106_trials_20   1.4396   2.7255   0.2279   0.0376   0.0000   0.9727   0.0370       KS
 subj_106_trials_30   0.8762   4.4421   0.3243   0.0375   0.0000   0.9917   0.0150       KS
 subj_106_trials_40   1.5520   5.1409   0.3075   0.1621   0.0000   0.9630   0.0470       KS
 subj_106_trials_50   1.9033   4.6214   0.3849   0.4275   0.0000   0.9997   0.1540       KS
 subj_106_trials_60   0.8548   2.6513   0.3058   0.1081   0.0000   0.9997   0.0160       KS
 subj_107_trials_10   0.6948   2.3159   0.3195   0.0675   0.0000   1.0000   0.0160       KS
 subj_107_trials_20   0.4224   4.8274   0.3543   0.0891   0.0000   1.0000   0.0220       KS
 subj_107_trials_30   0.7321   6.7013   0.3748   0.1474   0.0000   0.9536   0.0240       KS
 subj_107_trials_40   0.9173   3.9155   0.3955   0.2409   0.0000   1.0000   0.0470       KS
 subj_107_trials_50   0.9104   4.4547   0.2852   0.0031   0.0000   0.9714   0.0260       KS
 subj_107_trials_60   1.2011   4.4617   0.4013   0.2416   0.0000   0.9894   0.0470       KS
 subj_108_trials_10   1.1534   2.3428   0.3060   0.0001   0.0000   0.9823   0.0160       KS
 subj_108_trials_20   1.9458   2.8061   0.2743   0.3916   0.0000   0.9939   0.1370       KS
 subj_108_trials_30   1.4349   4.1694   0.4629   0.3840   0.0000   0.9834   0.0790       KS
 subj_108_trials_40   0.7320   5.1707   0.3586   0.1058   0.0000   0.9667   0.0370       KS
 subj_108_trials_50   0.7408   3.6693   0.3878   0.1275   0.0000   0.9831   0.0320       KS
 subj_108_trials_60   1.0198   2.2237   0.3082   0.1556   0.0000   0.9997   0.0310       KS
 subj_109_trials_10   0.5630   1.4118   0.2933   0.0011   0.0000   0.9833   0.0160       KS
 subj_109_trials_20   0.5028   1.9374   0.3046   0.0746   0.0000   0.9607   0.0060       KS
 subj_109_trials_30   1.1563   4.0645   0.3906   0.0000   0.0000   0.9394   0.0310       KS
 subj_109_trials_40   0.7967   0.5622   0.2912   0.0525   0.0000   0.9845   0.0160       KS
 subj_109_trials_50   1.2006   5.5220   0.3537   0.1789   0.0000   0.9948   0.0740       KS
 subj_109_trials_60   0.5308   2.9189   0.3091   0.0675   0.0000   0.9840   0.0160       KS
 subj_10_trials_10   0.5181   3.6520   0.3241   0.0538   0.0000   0.9999   0.0160       KS
 subj_10_trials_20   1.6104   3.2377   0.2865   0.2864   0.0000   0.9939   0.0610       KS
 subj_10_trials_30   1.1249   4.2437   0.3837   0.0037   0.0000   0.9388   0.0160       KS
 subj_10_trials_40   1.0373   5.0745   0.3837   0.2794   0.0000   1.0000   0.1010       KS
 subj_10_trials_50   0.5918   1.8470   0.2990   0.0375   0.0000   0.9889   0.0160       KS
 subj_10_trials_60   1.0481   4.3942   0.3635   0.0825   0.0000   0.9809   0.0310       KS
 subj_110_trials_10   1.0590  -0.0629   0.2437   0.0068   0.0000   0.9930   0.0210       KS
 subj_110_trials_20   0.7321   4.6063   0.3703   0.1853   0.0000   0.9998   0.0310       KS
 subj_110_trials_30   0.9663   5.7115   0.3161   0.0875   0.0000   0.9999   0.0310       KS
 subj_110_trials_40   1.0760   4.0296   0.3978   0.2694   0.0000   0.9714   0.0700       KS
 subj_110_trials_50   0.7083   2.9194   0.2959   0.0005   0.0000   0.9999   0.0150       KS
 subj_110_trials_60   1.0249   5.6025   0.3493   0.1432   0.0000   0.9254   0.0470       KS
 subj_111_trials_10   0.7755   3.7690   0.2931   0.0018   0.0000   0.9999   0.0030       KS
 subj_111_trials_20   0.9670   4.8895   0.3573   0.2039   0.0000   0.9997   0.0160       KS
 subj_111_trials_30   1.7572   7.2466   0.2925   0.1275   0.0000   0.9997   0.0690       KS
 subj_111_trials_40   1.1512   3.3176   0.3538   0.2517   0.0000   0.9998   0.0470       KS
 subj_111_trials_50   1.0467   5.4289   0.3148   0.1021   0.0000   1.0000   0.0310       KS
 subj_111_trials_60   1.0749   3.6510   0.4523   0.3320   0.0000   0.9539   0.0840       KS
 subj_112_trials_10   0.6387   2.6430   0.3147   0.0675   0.0000   1.0000   0.0160       KS
 subj_112_trials_20   1.1344   3.2282   0.3562   0.1391   0.0000   0.9955   0.0220       KS
 subj_112_trials_30   1.9619   5.2570   0.3336   0.3086   0.0000   0.9995   0.1160       KS
 subj_112_trials_40   1.0659   3.4735   0.3085   0.1737   0.0000   0.9992   0.0310       KS
