n_subjects,fixed_effect,effect,power
400,0.1,linear_true_main_power,50.8
400,0.1,linear_recov_main_power,41.6
400,0.15,linear_true_main_power,87
400,0.15,linear_recov_main_power,72.2
450,0.1,linear_true_main_power,55.400000000000006
450,0.1,linear_recov_main_power,41.4
450,0.15,linear_true_main_power,87
450,0.15,linear_recov_main_power,76
500,0.1,linear_true_main_power,59
500,0.1,linear_recov_main_power,50.4
500,0.15,linear_true_main_power,92
500,0.15,linear_recov_main_power,81.8
550,0.1,linear_true_main_power,62.6
550,0.1,linear_recov_main_power,50.2
550,0.15,linear_true_main_power,93
550,0.15,linear_recov_main_power,84.39999999999999
600,0.1,linear_true_main_power,72.2
600,0.1,linear_recov_main_power,56.8
600,0.15,linear_true_main_power,95.8
600,0.15,linear_recov_main_power,88.6
800,0.1,linear_true_main_power,83.2
800,0.1,linear_recov_main_power,65.60000000000001
800,0.15,linear_true_main_power,99.2
800,0.15,linear_recov_main_power,96.39999999999999
1000,0.1,linear_true_main_power,89.2
1000,0.1,linear_recov_main_power,75.8
1000,0.15,linear_true_main_power,99.8
1000,0.15,linear_recov_main_power,99.4
