n_subjects,fixed_effect,sigma_sd,effect,power
400,0.1,0.5,mixed_true_main_power,98.4
400,0.1,0.5,mixed_recov_main_power,72.6
400,0.1,0.5,mixed_true_interaction_power,98.8
400,0.1,0.5,mixed_recov_interaction_power,73.2
400,0.1,1,mixed_true_main_power,65.8
400,0.1,1,mixed_recov_main_power,49.2
400,0.1,1,mixed_true_interaction_power,65.8
400,0.1,1,mixed_recov_interaction_power,44
400,0.15,0.5,mixed_true_main_power,100
400,0.15,0.5,mixed_recov_main_power,98.2
400,0.15,0.5,mixed_true_interaction_power,100
400,0.15,0.5,mixed_recov_interaction_power,98
400,0.15,1,mixed_true_main_power,93.8
400,0.15,1,mixed_recov_main_power,81.6
400,0.15,1,mixed_true_interaction_power,93.4
400,0.15,1,mixed_recov_interaction_power,74.8
450,0.1,0.5,mixed_true_main_power,99
450,0.1,0.5,mixed_recov_main_power,79.60000000000001
450,0.1,0.5,mixed_true_interaction_power,99.6
450,0.1,0.5,mixed_recov_interaction_power,80.60000000000001
450,0.1,1,mixed_true_main_power,69.39999999999999
450,0.1,1,mixed_recov_main_power,50.2
450,0.1,1,mixed_true_interaction_power,67.4
450,0.1,1,mixed_recov_interaction_power,46.800000000000004
450,0.15,0.5,mixed_true_main_power,100
450,0.15,0.5,mixed_recov_main_power,98.6
450,0.15,0.5,mixed_true_interaction_power,100
450,0.15,0.5,mixed_recov_interaction_power,97.2
450,0.15,1,mixed_true_main_power,95.19999999999999
450,0.15,1,mixed_recov_main_power,82
450,0.15,1,mixed_true_interaction_power,95.8
450,0.15,1,mixed_recov_interaction_power,80
500,0.1,0.5,mixed_true_main_power,99.6
500,0.1,0.5,mixed_recov_main_power,83.8
500,0.1,0.5,mixed_true_interaction_power,99.8
500,0.1,0.5,mixed_recov_interaction_power,84.39999999999999
500,0.1,1,mixed_true_main_power,72.8
500,0.1,1,mixed_recov_main_power,55.00000000000001
500,0.1,1,mixed_true_interaction_power,71.39999999999999
500,0.1,1,mixed_recov_interaction_power,50.8
500,0.15,0.5,mixed_true_main_power,100
500,0.15,0.5,mixed_recov_main_power,98.8
500,0.15,0.5,mixed_true_interaction_power,100
500,0.15,0.5,mixed_recov_interaction_power,98.8
500,0.15,1,mixed_true_main_power,97.39999999999999
500,0.15,1,mixed_recov_main_power,87.4
500,0.15,1,mixed_true_interaction_power,97
500,0.15,1,mixed_recov_interaction_power,86.6
550,0.1,0.5,mixed_true_main_power,99.8
550,0.1,0.5,mixed_recov_main_power,87.6
550,0.1,0.5,mixed_true_interaction_power,100
550,0.1,0.5,mixed_recov_interaction_power,86.4
550,0.1,1,mixed_true_main_power,78.8
550,0.1,1,mixed_recov_main_power,57.8
550,0.1,1,mixed_true_interaction_power,76.6
550,0.1,1,mixed_recov_interaction_power,57.99999999999999
550,0.15,0.5,mixed_true_main_power,100
550,0.15,0.5,mixed_recov_main_power,100
550,0.15,0.5,mixed_true_interaction_power,100
550,0.15,0.5,mixed_recov_interaction_power,99.6
550,0.15,1,mixed_true_main_power,97.6
550,0.15,1,mixed_recov_main_power,89
550,0.15,1,mixed_true_interaction_power,98.8
550,0.15,1,mixed_recov_interaction_power,90.4
600,0.1,0.5,mixed_true_main_power,99.8
600,0.1,0.5,mixed_recov_main_power,90.8
600,0.1,0.5,mixed_true_interaction_power,100
600,0.1,0.5,mixed_recov_interaction_power,89.60000000000001
600,0.1,1,mixed_true_main_power,81.8
600,0.1,1,mixed_recov_main_power,63.2
600,0.1,1,mixed_true_interaction_power,77.8
600,0.1,1,mixed_recov_interaction_power,58.4
600,0.15,0.5,mixed_true_main_power,100
600,0.15,0.5,mixed_recov_main_power,100
600,0.15,0.5,mixed_true_interaction_power,100
600,0.15,0.5,mixed_recov_interaction_power,100
600,0.15,1,mixed_true_main_power,98
600,0.15,1,mixed_recov_main_power,91
600,0.15,1,mixed_true_interaction_power,98
600,0.15,1,mixed_recov_interaction_power,92
800,0.1,0.5,mixed_true_main_power,100
800,0.1,0.5,mixed_recov_main_power,96.39999999999999
800,0.1,0.5,mixed_true_interaction_power,100
800,0.1,0.5,mixed_recov_interaction_power,95.8
800,0.1,1,mixed_true_main_power,90.60000000000001
800,0.1,1,mixed_recov_main_power,73.8
800,0.1,1,mixed_true_interaction_power,91.2
800,0.1,1,mixed_recov_interaction_power,74.8
800,0.15,0.5,mixed_true_main_power,100
800,0.15,0.5,mixed_recov_main_power,100
800,0.15,0.5,mixed_true_interaction_power,100
800,0.15,0.5,mixed_recov_interaction_power,100
800,0.15,1,mixed_true_main_power,99.8
800,0.15,1,mixed_recov_main_power,97.2
800,0.15,1,mixed_true_interaction_power,99.8
800,0.15,1,mixed_recov_interaction_power,95.8
1000,0.1,0.5,mixed_true_main_power,100
1000,0.1,0.5,mixed_recov_main_power,99.4
1000,0.1,0.5,mixed_true_interaction_power,100
1000,0.1,0.5,mixed_recov_interaction_power,99.2
1000,0.1,1,mixed_true_main_power,94.19999999999999
1000,0.1,1,mixed_recov_main_power,79.80000000000001
1000,0.1,1,mixed_true_interaction_power,94.8
1000,0.1,1,mixed_recov_interaction_power,79.2
1000,0.15,0.5,mixed_true_main_power,100
1000,0.15,0.5,mixed_recov_main_power,100
1000,0.15,0.5,mixed_true_interaction_power,100
1000,0.15,0.5,mixed_recov_interaction_power,100
1000,0.15,1,mixed_true_main_power,100
1000,0.15,1,mixed_recov_main_power,99
1000,0.15,1,mixed_true_interaction_power,100
1000,0.15,1,mixed_recov_interaction_power,99.2
