subj_idx,condition,congruency,response,rt
2,standard,incongruent,1,0.652800000011921
2,standard,incongruent,1,0.606300000011921
2,standard,incongruent,1,0.5858999999761582
2,standard,congruent,1,0.5011999999880791
2,standard,congruent,1,0.4965999999642372
2,standard,congruent,1,0.4878999999761581
2,standard,incongruent,1,0.6195
2,standard,incongruent,1,0.5869000000357628
2,standard,congruent,1,0.5059000000357627
2,standard,incongruent,1,0.6021000000238419
2,standard,congruent,1,0.526
2,standard,congruent,1,0.5838999999761582
2,standard,incongruent,1,0.5586999999880791
2,standard,congruent,1,0.529
2,standard,incongruent,1,0.6142999999523163
2,standard,congruent,1,0.5371999999880791
2,standard,incongruent,1,0.622300000011921
2,standard,incongruent,1,0.576199999988079
2,standard,congruent,1,0.47210000002384184
2,standard,incongruent,1,0.6633999999761582
2,standard,congruent,1,0.5705
2,standard,incongruent,1,0.5930999999642372
2,standard,congruent,1,0.516699999988079
2,standard,incongruent,1,0.6029000000357628
2,standard,congruent,1,0.5816000000238418
2,standard,congruent,1,0.5769000000357628
2,standard,incongruent,1,0.5656000000238418
2,standard,incongruent,1,0.5571999999880791
2,standard,congruent,1,0.5013999999761581
2,standard,congruent,1,0.534800000011921
2,standard,incongruent,1,0.6317999999523163
2,standard,congruent,1,0.5305
2,standard,incongruent,1,0.5763000000119209
2,standard,congruent,1,0.4735
2,standard,congruent,1,0.544699999988079
2,standard,incongruent,1,0.6162000000476837
2,standard,congruent,1,0.4974000000357628
2,standard,incongruent,1,0.5773999999761581
2,standard,incongruent,1,0.6308999999761581
2,standard,congruent,1,0.5512999999523163
2,standard,incongruent,1,0.581
2,standard,incongruent,1,0.5462000000476838
2,standard,congruent,1,0.5175
2,standard,incongruent,1,0.603
2,standard,congruent,1,0.6146999999880791
2,standard,incongruent,1,0.5556000000238419
2,standard,congruent,1,0.6685
2,standard,congruent,1,0.5038999999761582
2,standard,congruent,1,0.5226000000238419
2,standard,congruent,1,0.5125
2,standard,congruent,1,0.498
2,standard,incongruent,1,0.6111000000238419
2,standard,congruent,1,0.42989999997615813
2,standard,incongruent,1,0.561
2,standard,congruent,1,0.46530000001192096
2,standard,incongruent,1,0.5053999999761581
2,standard,congruent,1,0.5545999999642373
2,standard,incongruent,1,0.5812000000476837
2,standard,congruent,1,0.5491999999880791
2,standard,incongruent,1,0.5430999999642372
2,standard,congruent,1,0.5116000000238419
2,standard,incongruent,1,0.6620999999642372
2,standard,incongruent,1,0.6175
2,standard,incongruent,1,0.6095
2,enhanced,incongruent,1,0.604199999988079
2,enhanced,congruent,1,0.5805
2,enhanced,incongruent,1,0.682
2,enhanced,congruent,1,0.5636999999880791
2,enhanced,incongruent,1,0.6093999999761581
2,enhanced,incongruent,1,0.5950999999642372
2,enhanced,congruent,1,0.5244000000357628
2,enhanced,congruent,1,0.5273000000119209
2,enhanced,congruent,1,0.5129000000357627
2,enhanced,incongruent,1,0.597199999988079
2,enhanced,incongruent,1,0.5563000000119209
2,enhanced,incongruent,1,0.5376000000238419
2,enhanced,congruent,1,0.5976999999880791
2,enhanced,congruent,1,0.527800000011921
2,enhanced,incongruent,1,0.6186000000238419
2,enhanced,congruent,1,0.498
2,enhanced,congruent,1,0.4534000000357628
2,enhanced,incongruent,1,0.538699999988079
2,enhanced,incongruent,1,0.5286000000238419
2,enhanced,incongruent,1,0.6096999999880791
2,enhanced,congruent,1,0.5161000000238418
2,enhanced,congruent,1,0.6665
2,enhanced,congruent,1,0.5265
2,enhanced,incongruent,1,0.574
2,enhanced,incongruent,1,0.5965
2,enhanced,congruent,1,0.4585
2,enhanced,incongruent,1,0.5699000000357628
2,enhanced,congruent,1,0.49669999998807907
2,enhanced,congruent,1,0.514699999988079
2,enhanced,congruent,1,0.45480000001192095
2,enhanced,incongruent,1,0.5785
2,enhanced,incongruent,1,0.609
2,enhanced,incongruent,1,0.5255
2,enhanced,incongruent,1,0.6108999999761582
2,enhanced,congruent,1,0.5401000000238418
2,enhanced,incongruent,1,0.5684000000357627
2,enhanced,congruent,1,0.46889999997615817
2,enhanced,incongruent,1,0.5664000000357627
2,enhanced,congruent,1,0.5031000000238418
2,enhanced,incongruent,1,0.537699999988079
2,enhanced,congruent,1,0.5431999999880791
2,enhanced,congruent,1,0.5025
2,enhanced,congruent,1,0.45030000001192094
2,enhanced,incongruent,1,0.5285999999642372
2,enhanced,incongruent,1,0.4808000000119209
2,enhanced,congruent,1,0.48939999997615813
2,enhanced,congruent,1,0.4596999999880791
2,enhanced,incongruent,1,0.47869999998807905
2,enhanced,congruent,1,0.42160000002384185
2,enhanced,incongruent,1,0.5096000000238419
2,enhanced,incongruent,1,0.659699999988079
2,enhanced,congruent,1,0.5165999999642372
2,enhanced,congruent,1,0.544800000011921
2,enhanced,congruent,1,0.48560000002384185
2,enhanced,incongruent,1,0.5872999999523163
2,enhanced,incongruent,1,0.6128000000119209
2,enhanced,congruent,1,0.5025
2,enhanced,congruent,1,0.4686999999880791
2,enhanced,incongruent,1,0.5481999999880791
