,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.378839066589191,0.060783971184629054,2.262060362237647,2.3378162688339126,2.3786957630750245,2.418856238560019,2.49815937506471,0.0023328855600316554
a_std,0.9288464258526948,0.0446580500154542,0.8468368587083656,0.8983656696413255,0.927180582780392,0.9580225460821284,1.0230577953210875,0.001260151563174867
a_subj.2,3.3374117002631394,0.5758026924447271,2.2970233632290338,2.9318346763533354,3.3120533588193792,3.7181756318330006,4.528889457489879,0.016909262771818947
a_subj.3,3.2050958176712707,0.4486186019443087,2.372660690550931,2.9018313375920997,3.1874777046397833,3.496049722415137,4.131726063983108,0.00834652327502567
a_subj.4,2.1754488617579475,0.4830485914399517,1.3527837739030013,1.8253053489280378,2.136658458728993,2.472667274946212,3.219079437564883,0.015754233249876626
a_subj.5,1.7640938957390522,0.5282026963321481,1.1031823851115619,1.3432524298203399,1.5995710547309518,2.131689468345391,2.9819409731114557,0.017856972567421314
a_subj.6,2.229446550264705,0.5510209999557545,1.2405774557474314,1.8326526515726402,2.2541345500718513,2.6019030815018382,3.3123195049233423,0.018477272347957655
a_subj.7,3.026846747834806,0.5192264566443112,2.0768740726913375,2.663604590748199,2.997917335640684,3.36302483940829,4.132053836266114,0.013355997095524236
a_subj.8,2.8312924285060306,0.47556478307898703,1.9862217488850185,2.4974863142030466,2.8023808949262765,3.131727639914032,3.8334695721311722,0.012808614367039053
a_subj.10,2.2380613580433515,0.7342436436936285,0.8927933730160762,1.8076939726648844,2.3630506158413938,2.7443527529316096,3.4864902844577657,0.037010413911235926
a_subj.12,2.8632341923852254,0.44459167212019,2.0559593009966477,2.5597470705776635,2.8339109105591205,3.1465216952598514,3.799270027329343,0.009983332403746931
a_subj.13,2.914787488304951,0.5625695591852586,1.8984775057226673,2.513999063600888,2.8856237939183558,3.267822889244802,4.119069557533486,0.016963347748312676
a_subj.15,2.5773936027083515,0.49450547439365483,1.6440064507172731,2.251196543081903,2.5618832867764354,2.8921795951488063,3.5996536010924403,0.013287667469317246
a_subj.16,1.6231752708407672,0.21866819215682537,1.2965154242488333,1.47534350965854,1.589212416090949,1.733335008115827,2.1661258963150165,0.003556451224915578
a_subj.17,1.3079058243710953,0.37068131076098926,0.9299506242499489,1.0825863654028776,1.1968074860965379,1.3827777550628402,2.411790648358944,0.015339916852435265
a_subj.18,3.5252635380192006,0.5758704993212688,2.483787335755079,3.1248570402244242,3.508734464877624,3.8964820306573156,4.727787802772293,0.012493792101350643
a_subj.19,1.2215248675472086,0.2928676096763749,0.9605880807132343,1.0855139462041556,1.1623303244033498,1.2576519590049824,2.301623238025156,0.015392103063960985
a_subj.20,1.035462397191805,0.11222207740499468,0.8442513439137262,0.9582422962462316,1.0272020577580738,1.1008224016910777,1.278952319896534,0.001565107739835057
a_subj.21,1.388209498608027,0.48895466656145925,0.9176680688722367,1.0685523869213922,1.1904628449252317,1.5079491864565733,2.6946060855860314,0.01946769005855906
a_subj.22,2.4422165169915706,0.42986778489825367,1.683886815742675,2.1432129086706584,2.4164659801616204,2.715366097024634,3.3600416610513872,0.010999134952190072
a_subj.23,2.057663921765188,0.4351505855185674,1.2986311560291859,1.7386743530297242,2.0397657595510807,2.3475905802575667,2.9720240866017336,0.011207134763612642
a_subj.24,1.3251452982972918,0.1884294251425449,1.0489846412270092,1.1994695595883276,1.296862154057526,1.417064515730013,1.788847812488123,0.003055538714120524
a_subj.25,2.5234896061541416,0.4466765677505923,1.5830531270296204,2.246380292641766,2.536718378491398,2.820396165924226,3.3667633182111545,0.0101225803289015
a_subj.26,3.540229714587962,0.5243724675880237,2.5715220157922447,3.176218003623585,3.5292880307829133,3.8922812275275143,4.59996204557834,0.011733188126400628
