id,meta_start,meta_captcha,meta_resolution_ratio,meta_resolution_height,dems_edu,dems_class_current,chaos01,chaos02,chaos03,chaos04,chaos05,chaos06,chaos07,chaos08,chaos09,chaos10,chaos11,chaos12,chaos13,chaos14,chaos15,unp01,unp02,unp03,unp04,unp05,unp06,unp07,unp08,unp_moving,unp_other_adults,unp_female_fig_num,unp_female_fig_rom,unp_male_fig_num,unp_male_fig_rom,quic01,quic02,quic03,quic04,quic05,quic06,quic07,quic08,quic09,quic10,quic11,quic12,quic13,quic14,quic15,quic16,quic17,quic18,quic19,quic20,quic21,quic22,quic23,quic24,quic25,quic26,quic27,quic28,quic29,quic30,quic31,quic32,quic33,quic34,quic35,quic36,quic37,change_env01,change_env02,change_env03,change_env04,change_env_mean,change_env_missing,chaos_mean,chaos_missing,quic_monitoring_mean,quic_monitoring_missing,quic_par_predict_mean,quic_par_predict_missing,quic_par_env_mean,quic_par_env_missing,quic_phys_env_mean,quic_phys_env_missing,quic_safety_mean,quic_safety_missing,quic_total_mean,quic_total_missing,unp_moving_binned,unp_male_fig_rom_binned,unp_female_fig_rom_binned,unp_pcunp_quic_comp,unp_subj_comp,unp_obj_comp,unp_comp,violence01,violence02,violence03,violence04,violence05,violence06,violence07,fighting_mean,vio_comp,ses01,ses02,ses03,ses04,ses05,ses06,ses07,ses_subj_comp,ses_subj_missing,ses_obj_comp,ses_obj_missing,ses_comp,att_style01,att_style02,att_style03,att_style04,att_style05,att_style06,att_style07,att_style08,att_style09,att_style10,att_style11,att_style12,att_style13,att_style14,att_style_int,att_style_ext,impuls01,impuls02,impuls03,impuls04,impuls05,fos01,fos02,fos03,fos04,fos05,fos06,fos07,fos08,fos09,fos10,fos11,fos12,fos13,fos14,fos15,impuls_mean,impuls_missing.x,fos_pa_mean,fos_pa_missing,fos_tp_mean,fos_tp_missing,fos_fc_mean,fos_fc_missing,fos_fo_mean,fos_fo_missing,depression01,depression02,depression03,depression04,depression05,depression06,depression07,depression08,depression09,depression10,depression11,depression12,depression13,depression14,depression15,depression16,depression17,depression18,depression19,depression20,depression_mean,impuls_missing.y,dems_ethnicity,dems_ethnicity_mixed,dems_age,dems_sex,dems_gender,dems_gender_4_text,att_check01,att_check02,att_getup,att_interrupted,att_noise,attention_check_sum,attention_interrupt_sum,ex_narb_NA_selfreport_pass,ex_narb_attention_checks_pass,ex_narb_suspect_responses_pass,ex_narb_resolution_ratio,ex_narb_resolution_height,rt_flanker_congruent,rt_flanker_incongruent,acc_flanker_congruent,acc_flanker_incongruent,flanker_data_long,rt_globloc_global,rt_globloc_local,acc_globloc_global,acc_globloc_local,a_flanker,t0_flanker,p_flanker,rd_flanker,sda_flanker,g2_flanker,bbic_flanker,interference_flanker,ssp_refit,hddm_a_fixed,hddm_v_local,hddm_v_global,hddm_t0_local,hddm_t0_global,final_width_px,scale_factor,no_resize,fullscreenenter,fullscreenexit,blur_event,focus_event,event_during_flanker,event_during_globloc
1,2023-05-09T11:04:55Z,1,1.5998125585754452,1067,4,3,3,2,3,1,2,4,1,3,2,1,4,2,5,3,5,2,2,3,1,2,3,2,3,3,1,0,0,2,0,1,2,5,3,5,1,2,1,3,3,1,2,3,2,4,1,1,3,4,4,4,3,1,5,1,5,1,1,3,4,3,2,1,1,1,2,1,3,3,2,4,3,0,2.7333333333333334,0,2.5555555555555554,0,2.6666666666666665,0,2.6666666666666665,0,2.142857142857143,0,1.3333333333333333,0,2.4324324324324325,0,2,0,0,0.21218572568633443,0.2603905797813351,0.37004003557187243,0.3152153076766038,1,2,3,2,1,1,2,5.5,1.0027856686354093,4,4,4,5,2,2,3,3.4285714285714284,0,0.16046719836313467,0,0.16016532937996408,5,5,5,1,4,4,5,5,3,4,4,4,5,3,4.285714285714286,3.857142857142857,5,4,4,2,5,2,5,1,3,3,2,2,3,4,5,5,4,4,5,1,4,0,2.8,0,4.2,0,2.8,0,3.2666666666666666,0,4,1,4,4,4,4,4,3,3,4,3,4,3,4,1,4,4,4,4,4,3.5,0,"White, Caucasian, Anglo, European American",0,24,0,1,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.63484375,0.6708064516129032,1,0.96875,,0.7636333333333334,0.8806285714285714,1,0.9722222222222222,0.068,0.452,0.389,0.011,1.207,58.90813504502874,1885.767855552916,109.72727272727273,FALSE,2.0227196733333335,1.5839689523333333,1.9706930596666667,0.2629133713333333,0.2534145936666667,304,0.9007407407407407,1,1,0,0,1,FALSE,FALSE
2,2023-05-09T11:20:39Z,1,1.7708333333333333,768,4,3,2,1,1,1,2,1,2,1,1,1,2,2,4,2,2,1,2,1,1,1,1,1,1,0,1,1,0,1,0,1,2,1,1,4,1,4,3,2,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.6666666666666667,0,2.111111111111111,0,1.3333333333333333,0,1.3333333333333333,0,1,0,1,0,1.4324324324324325,0,0,0,0,-1.0385952172779285,-1.0308672298001604,-0.632969232584075,-0.8319182311921177,1,1,2,1,1,2,1,1,-0.8252876668661862,5,5,5,5,3,3,5,4.428571428571429,0,0.5448018158154252,1,0.9193358643548629,1,2,2,3,2,2,3,1,2,2,2,2,2,1,2,1.8571428571428572,2,4,2,3,2,5,5,4,3,1,3,2,3,2,1,5,1,2,4,4,2.6,0,2.6,0,3.6,0,2.8,0,3,0,1,3,2,2,3,2,2,1,1,1,3,1,2,2,1,1,3,3,1,2,1.85,0,"White, Caucasian, Anglo, European American",0,21,0,1,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.60465625,0.67,1,0.9375,,0.7461153846153846,0.7720312500000001,0.8666666666666667,0.9142857142857143,0.07,0.388,0.353,0.012,1.611,154.13491563177166,2006.8337378188296,134.25,FALSE,1.4074982533333333,1.754597993,1.8756336316666666,0.44312368333333335,0.457836049,172,0.5096296296296297,0,1,0,0,1,FALSE,FALSE
3,2023-05-09T11:31:30Z,1,1.7777777777777777,1440,4,3,3,1,2,1,1,1,3,1,1,1,1,5,2,3,4,1,1,1,1,1,1,1,1,0,2,0,0,0,0,2,2,2,3,5,2,2,2,4,5,2,3,1,3,2,2,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,1,0,2,0,2.6666666666666665,0,3.1666666666666665,0,1.1666666666666667,0,2,0,1,0,2.324324324324324,0,0,0,0,-0.5872005049521931,-0.5857473088485265,-0.632969232584075,-0.6093582707163008,1,1,1,1,1,1,1,2,-0.6190341289850899,5,5,5,5,5,5,5,5,0,1.2741761474351256,0,1.6682933070670813,1,2,1,3,2,1,5,2,2,3,4,4,1,1,2.857142857142857,1.7142857142857142,2,2,1,1,1,5,5,5,5,5,4,5,5,5,2,5,5,4,4,2,1.4,0,4.6,0,4.8,0,3.8,0,4.4,0,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,4,1,1,1,1,1.4,0,"White, Caucasian, Anglo, European American",0,24,0,1,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.5978125,0.7882258064516129,1,1,,0.6507000000000001,0.537264705882353,1,0.9444444444444444,0.13,0.33,0.479,0.01,1.914,42.35260638429299,1825.2753336727476,191.39999999999998,FALSE,1.348627417,2.5452657866666666,2.5468144833333333,0.31623875566666665,0.39687568133333334,342,1.0133333333333332,0,1,0,1,2,FALSE,FALSE
4,2023-05-09T11:39:43Z,1,1.6,900,6,3,1,1,3,1,3,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1.25,0,1.6,0,1,0,1.0833333333333333,0,1.1666666666666667,0,1.1428571428571428,0,1,0,1.0810810810810811,0,1,0,0,-1.3189769548899493,-1.2505569185236791,-0.3524871910626697,-0.8015220547931744,1,1,2,1,1,1,1,1,-0.9002820347859082,5,5,5,5,2,2,5,4.142857142857143,0,-0.24138438193235287,0,0.2842736700894868,4,1,4,3,1,4,1,2,2,4,4,4,4,4,2.5714285714285716,3.4285714285714284,2,1,2,2,2,4,4,4,5,5,5,4,4,4,5,5,4,5,3,3,1.8,0,4.4,0,4.2,0,4.2,0,4.266666666666667,0,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1.2,0,"White, Caucasian, Anglo, European American",0,29,1,2,NA,5,2,0,0,2,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.6004193548387097,0.6820333333333334,1,0.9375,,0.9759655172413793,1.0539375,0.9666666666666667,0.8888888888888888,0.063,0.479,0.552,0.014,1.575,110.8537474815394,1951.799441386779,112.5,FALSE,1.95496261,1.4354343633333333,1.5907096766666666,0.489501198,0.393867441,432,1.28,0,1,0,0,1,FALSE,FALSE
6,2023-05-09T11:09:16Z,NA,1.5,1024,5,4,1,1,3,1,2,4,2,5,5,5,5,1,4,2,1,1,1,1,1,3,1,1,1,2,1,3,2,2,2,2,1,1,1,1,2,2,2,2,3,2,2,5,1,4,1,3,2,4,4,4,2,4,4,4,4,5,3,4,4,2,4,2,3,4,4,2,4,4,4,4,4,0,2.8,0,1.5555555555555556,0,2.9166666666666665,0,3.8333333333333335,0,3.142857142857143,0,3.3333333333333335,0,2.810810810810811,0,1,2,2,-0.15370249928254395,0.035871544934901696,2.8670887432608594,1.4514801440978806,2,3,2,1,1,2,4,2,-0.019079185627315143,4,4,5,5,4,4,2,4,0,0.6269990292032581,0,0.7466255740170387,4,1,5,1,2,1,5,5,1,4,3,3,5,2,2.7142857142857144,3.2857142857142856,1,1,1,1,1,5,4,5,5,1,5,4,5,3,4,5,5,1,5,1,1,0,4,0,4,0,3.6,0,3.8666666666666667,0,1,1,1,4,1,1,1,2,1,1,1,2,1,1,1,3,1,1,2,3,1.5,0,"Hispanic of Latino (e.g., Mexican American, Central American, and others)",0,27,1,1,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1.0828888888888888,0.9117586206896552,0.8709677419354839,0.90625,,NA,NA,NA,NA,0.071,0.55,0.15,0.338,1.776,230.3945837372388,2285.226582165548,5.2544378698224845,FALSE,NA,NA,NA,NA,NA,304,0.9007407407407407,1,1,0,0,1,FALSE,FALSE
8,2023-05-09T11:44:25Z,1,1.7777777777777777,1080,4,3,4,2,4,3,4,3,4,4,5,4,3,4,1,5,5,2,3,1,4,2,3,3,2,6,1,3,0,2,0,5,5,5,5,5,5,5,5,5,2,4,2,2,4,4,4,5,4,3,4,4,5,4,5,1,5,4,5,5,5,5,5,5,2,1,3,2,3,3,3,3,3,0,3.6666666666666665,0,5,0,3.5,0,4,0,4.571428571428571,0,2,0,4.027027027027027,0,3,0,0,1.297919262822245,1.3842614303478558,0.5768478795744215,0.9805546549611386,3,2,4,3,2,1,2,2.5,0.3090306870723985,3,4,4,2,1,1,3,2.5714285714285716,0,-0.7652935915493467,0,-0.8592222378120054,2,5,2,1,1,1,4,4,4,1,5,5,1,2,4,1.4285714285714286,4,1,2,3,2,4,5,5,5,3,5,5,4,5,1,5,4,1,5,4,2.4,0,3.8,0,4.4,0,4,0,4.066666666666666,0,1,4,1,4,3,4,4,3,3,1,3,3,4,1,3,3,4,4,4,3,3,0,Black or African American,0,26,0,1,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.56515625,0.5938666666666667,1,0.9375,,0.6315,0.5544705882352942,1,0.9714285714285714,0.057,0.422,0.454,0.029,1.887,97.48918510270404,1944.3311455381745,65.06896551724138,FALSE,1.350288153,2.99549153,2.855638936666667,0.35946192666666665,0.41040832833333335,314,0.9303703703703704,0,1,0,0,1,FALSE,FALSE
9,2023-05-09T11:39:57Z,0.800000011920929,1.778125,960,3,2,2,1,2,2,1,5,2,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,8,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,2,2,3,2,1,4,4,3,1,1,1,3,4,1,2,1,3,3,2.25,0,1.6666666666666667,0,1,0,1.3333333333333333,0,1.8333333333333333,0,2.142857142857143,0,2.6666666666666665,0,1.5945945945945945,0,4,0,0,-0.8695707655260011,-0.9146895636357114,0.5626331310204022,-0.17602821630765458,2,1,5,2,1,1,1,5.5,1.077780036555131,2,2,4,2,1,1,2,2,0,-1.4728943847952836,0,-1.5947186193662137,2,1,2,3,1,2,3,1,1,1,2,2,1,1,1.7142857142857142,1.5714285714285714,2,2,2,1,2,3,3,2,5,2,3,4,4,4,4,3,4,3,5,1,1.8,0,3.4,0,3.4,0,3.2,0,3.3333333333333335,0,1,1,1,1,1,1,1,2,1,1,4,2,2,1,1,2,1,1,1,1,1.35,0,"White, Caucasian, Anglo, European American",0,30,0,1,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.61478125,0.74448,1,0.78125,,0.9271071428571429,0.9712903225806452,0.9333333333333333,0.8611111111111112,0.059,0.487,0.487,0.01,1.797,82.07373261013954,1937.1524666425544,179.7,FALSE,1.82814491,1.182418713,1.5712304453333332,0.392929929,0.4413970973333333,124,0.3674074074074074,0,1,0,0,1,FALSE,FALSE
10,2023-05-09T11:47:59Z,0.800000011920929,1.7777777777777777,1080,3,2,2,2,1,2,1,1,1,2,1,1,2,2,1,2,5,1,2,1,1,1,2,2,1,1,2,0,0,0,0,2,3,4,2,2,1,1,1,1,2,1,1,1,3,1,2,2,3,3,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,1,1,1,1,1,1,0,1.7333333333333334,0,1.8888888888888888,0,1.9166666666666667,0,1,0,1.4285714285714286,0,2,0,1.6756756756756757,0,1,0,0,-0.748270864856971,-0.804343560714027,-0.42616138858152586,-0.6152524746477764,2,1,5,2,1,2,3,2,0.055915182292406676,5,5,4,2,1,1,4,3.142857142857143,0,-0.9489851751782898,0,-0.674749809683661,2,4,5,4,1,4,5,4,3,3,4,4,3,4,4,3.142857142857143,3,3,3,2,3,4,3,3,3,2,5,3,2,3,2,3,4,4,2,4,2.8,0,4,0,2.4,0,3,0,3.1333333333333333,0,3,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,3,4,3,4,3.65,0,"White, Caucasian, Anglo, European American",0,25,0,1,NA,5,2,0,0,2,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.58665625,0.6450333333333333,1,0.9375,,0.595,0.5499142857142857,0.9655172413793104,0.9722222222222222,0.063,0.423,0.39,0.028,2.162,99.1057749406132,1943.984271551424,77.21428571428571,FALSE,1.47229129,2.6667862533333335,2.305239833,0.295630607,0.298954539,342,1.0133333333333332,0,1,0,0,1,FALSE,FALSE
11,2023-05-09T11:46:25Z,1,1.7777777777777777,1080,7,3,3,4,2,3,4,4,3,3,4,3,3,3,2,4,3,3,2,2,2,2,3,2,2,2,1,2,1,1,0,4,4,3,4,5,5,4,4,3,3,4,3,3,3,2,3,2,2,3,2,2,2,1,2,3,3,2,3,4,2,4,2,1,1,1,1,1,2,2,2,2,2,0,3.2,0,4,0,2.6666666666666665,0,2.1666666666666665,0,2.4285714285714284,0,1,0,2.72972972972973,0,1,0,1,0.38717574632362406,0.5694687316478538,0.6619328111999432,0.6157007714238985,2,2,3,2,2,2,3,1,-0.30032709142813335,4,4,4,4,4,4,2,3.7142857142857144,0,1.5872282321533406,0,1.191250296620065,2,4,2,4,4,2,2,2,4,4,3,2,2,4,2.7142857142857144,3.142857142857143,2,2,2,2,1,5,1,5,5,1,5,4,4,4,4,3,3,4,4,3,1.8,0,4.2,0,2.6,0,4.2,0,3.6666666666666665,0,3,3,2,3,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1.6,0,"White, Caucasian, Anglo, European American",0,NA,0,1,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1.079875,1.4362727272727274,0.8888888888888888,0.36666666666666664,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,0.9007407407407407,1,1,0,0,1,FALSE,FALSE
12,2023-05-09T11:54:06Z,1,1.7777777777777777,864,3,2,1,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,1,1,1,1,2,1,4,1,1,5,1,1,2,0,4.066666666666666,0,2.5555555555555554,0,3,0,3.3333333333333335,0,1.7142857142857142,0,2,0,2.6216216216216215,0,2,0,0,1.942200702441356,1.9889320128319996,0.07534324549644784,1.0321376291642237,1,5,1,1,1,1,1,1,-0.6752989310267425,4,5,4,4,1,4,3,3.5714285714285716,0,-0.7652935915493467,0,-0.33765900863448095,5,2,3,4,1,1,2,3,1,1,5,4,3,2,2.5714285714285716,2.7142857142857144,5,5,5,5,5,1,5,1,1,5,1,4,2,4,4,2,4,2,4,2,5,0,2.4,0,3.6,0,2.4,0,2.8,0,3,2,2,3,4,4,4,1,4,4,4,1,4,4,4,1,4,4,4,4,3.25,0,Black or African American,0,21,1,3,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.6121875,0.7029615384615384,1,0.8387096774193549,,NA,NA,NA,NA,0.065,0.392,0.317,0.015,2.002,63.64622203646788,1925.95238601558,133.46666666666667,FALSE,NA,NA,NA,NA,NA,303,0.8977777777777777,0,1,0,0,1,FALSE,FALSE
