,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.522466183966093,0.06634889029217561,2.401564281503044,2.476997803037569,2.520725840190945,2.5651621524904717,2.6604116678839853,0.005057343710879099
a_std,0.888353088735683,0.03846197131382302,0.8186180367604781,0.8605582456303822,0.8867744789143667,0.913832968487564,0.9656375328123987,0.0021116691301390983
a_subj.2,3.3668859390381694,0.490040396997048,2.437596861211333,3.031624765189206,3.3481846131725854,3.692844047570779,4.331436481395683,0.030543497413781352
a_subj.3,3.292441387380839,0.3742019075152433,2.604043282930142,3.0442823028673436,3.2765204451909096,3.527736716050591,4.072528119346234,0.015699888403597765
a_subj.4,2.2608545458186615,0.36758968524721924,1.5626848131814397,2.0220652713168503,2.239465965332947,2.495392916311537,3.0414950143375665,0.02220687582060623
a_subj.5,2.01675269358092,0.44489118324533294,1.242745123049367,1.668700882460446,2.029283112708807,2.3556338837786353,2.8524579456433337,0.028965375784967856
a_subj.6,2.3514725513730674,0.3632349590070866,1.6370042256573516,2.111186161185058,2.3485696061123638,2.582159422081102,3.079427361507982,0.020594464027580167
a_subj.7,3.441510506330438,0.4400182611130816,2.611452337607687,3.150508346524133,3.4295360072094367,3.724675964153144,4.358139649253702,0.022534951551188474
a_subj.8,2.672426353313531,0.4432345814591969,1.8769631551950638,2.366317795546164,2.6576562373235313,2.9465595108764484,3.6234490954213965,0.028991858768522793
a_subj.10,2.328654828828819,0.3597743784217633,1.680436478912266,2.0790526445870974,2.3217339654740803,2.5719774021060857,3.0471452355655577,0.021629236303600932
a_subj.12,2.5145004108924693,0.3384789540476549,1.90481345020441,2.2812537770778154,2.504488628202862,2.728354981747003,3.2748702711390516,0.016506673383988663
a_subj.13,3.325858720213886,0.43070061934425147,2.5590426454786113,3.0178113487126605,3.3029497076240455,3.608537878723281,4.222963690245072,0.0252869452562157
a_subj.15,2.90509431960532,0.40789763813143476,2.121314639978707,2.6332091715705626,2.891738790569592,3.167350973451615,3.797348810426271,0.023165162584042824
a_subj.16,3.2149609820085128,0.38900885577134403,2.4914467540819127,2.9331501982906802,3.2099050059844103,3.4843362639708335,3.996012072670043,0.01885674634717625
a_subj.17,1.8747258234660293,0.46819193129598213,1.1289467290774908,1.4644852747704165,1.862374921362958,2.230609125468747,2.7821886805902447,0.03433668660869217
a_subj.18,3.727527204268756,0.44517021123104344,2.8858109546924133,3.417329678668533,3.7137942629512612,4.035320588336807,4.617826063608391,0.025985662572625235
a_subj.19,2.0348552634554546,0.3044828196507356,1.481283414005548,1.8349798442236651,2.0190168080695807,2.22759858665298,2.7076480126939986,0.0163096345707136
a_subj.20,1.0525353242283013,0.12034743616291758,0.8400058429979942,0.969554068738177,1.0422844352704062,1.1261745067686353,1.3121058747557743,0.004395889097462425
a_subj.21,2.2248481867242846,0.3542890949671685,1.5431456336122167,1.9909925441723304,2.21387469337602,2.462084689985808,2.9478945065746145,0.019266924365420848
a_subj.22,2.259034106026513,0.3297736516574578,1.626178611958733,2.0201862808827475,2.254360661051612,2.4758236184452844,2.947693983771556,0.01813193264746419
a_subj.23,2.0875252758437934,0.3139180018151608,1.459318037359365,1.878425623395859,2.0959894829501575,2.293922159423617,2.710322589237555,0.01640727702760326
a_subj.24,1.4482062278324281,0.26643177715607724,1.0671772782472475,1.2568051434484797,1.3942988849877245,1.5883731085663169,2.1001864389300278,0.01399155441978755
a_subj.25,2.131405719009615,0.3249351354189391,1.4624421838434518,1.9294232926749713,2.143677655387071,2.3497008758516893,2.7543551894233005,0.015730960519806495
a_subj.26,3.89874733486661,0.4194308793290184,3.0984737904914867,3.6183997795415044,3.8930268651907367,4.166608328325394,4.780237077050808,0.018768360397743183
a_subj.27,2.7296632711400437,0.34297515345878515,2.092846537576007,2.4800035353049035,2.717147732786218,2.9556364487343476,3.426172312581387,0.017609468668459652
a_subj.28,2.7598966143937576,0.367535508498496,2.0753668664363225,2.4911843759140444,2.7626646926224563,3.009894791288557,3.47456415644285,0.019298277185351147
a_subj.30,2.350838217604626,0.401550925034333,1.603619641110075,2.0823930061286138,2.351057029863223,2.6074589729517297,3.195355362416599,0.02669542272628638
a_subj.31,1.8455717377671488,0.29857079703557965,1.3693620413485146,1.626141037962233,1.8114372158976195,2.0205521528199863,2.488141775645262,0.014669948344080561
a_subj.32,2.1715009165708197,0.3414933534058885,1.5696009678641603,1.9300760483686317,2.164317564008587,2.388445967346456,2.9010961660500465,0.019409517338704746
a_subj.33,4.673687938126981,0.4864921308149349,3.764835665254233,4.340246013112129,4.665295339553613,4.984793762151013,5.712686530865706,0.020358843395908467
a_subj.34,1.6231909133826514,0.2808825692319293,1.114555590348444,1.4264211307938068,1.6182354632685856,1.7925107927895865,2.200477987500022,0.014835769110316647
a_subj.35,3.3387155721801998,0.4203150777724319,2.5882300676817973,3.0447449615417694,3.3274732670171354,3.5954745383497513,4.318962723124644,0.02044586228708859
a_subj.36,3.020899224764222,0.369563198256434,2.3476595503864255,2.761826143562046,3.001500689947609,3.2528716675415326,3.8088947319375084,0.01813505010600275
a_subj.37,2.81317368733088,0.40246413590885954,2.0618428193527443,2.524734279900686,2.8066747260614866,3.0937094348709477,3.6096881147325437,0.024152219552326507
a_subj.38,8.532351832349146,0.7711978928951027,7.160760868097803,7.954753491828614,8.495974981238811,9.07344293923254,10.091773286062539,0.04995140549832914
a_subj.39,2.1502786886888385,0.30954748794697007,1.5748185632205234,1.9356817950749523,2.1439455732810364,2.3599175643898027,2.761414404416068,0.014393813198447791
a_subj.40,3.0309674730184195,0.32308078995363493,2.4522052341849543,2.8030413916727466,3.013319151664615,3.225263513286292,3.737165165335068,0.011701093124293148
a_subj.42,3.1974957930180707,0.3985302412103549,2.455899939484986,2.9261174618234556,3.1728544492885313,3.483203147951355,3.982150115052181,0.020216756298996955
a_subj.43,1.8810868074788312,0.4352745893216775,1.063215478432812,1.6047512519811076,1.8981979818418304,2.1907228693722383,2.69236891384282,0.032317164179351696
a_subj.45,3.053625200507447,0.3724088369508786,2.3527928566564076,2.8058943723259486,3.0454395161943975,3.2928088266193702,3.819579623864785,0.016889295494312333
a_subj.46,3.0451861719872038,0.48691181312195697,2.0994384745253525,2.7393228689902456,3.0318220596579315,3.3614828855218444,3.995133364258838,0.032622667152543146
a_subj.47,2.7968366596485894,0.36801324397233126,2.140727590051107,2.5404353571781457,2.7938944797772876,3.0454954699506795,3.563266892728577,0.019624869015021203
a_subj.48,3.5689471153099386,0.44183700053004993,2.7145543420357163,3.2599898997251877,3.5524443962030765,3.8813124138182573,4.449307272883061,0.024492980843645765
a_subj.50,2.6672772497559367,0.3366780627328194,2.027655775318683,2.4440752243615416,2.6562085502042696,2.8906378444150898,3.383088509478631,0.01621718584606398
a_subj.51,0.9944925051032465,0.08619910468777824,0.8344510708867175,0.9354874859827049,0.9914202456219865,1.0485583856311407,1.1799332769520643,0.002512374543260318
a_subj.52,2.9664789193204006,0.37420417379767873,2.226181937258916,2.726432424578654,2.9712254643499345,3.2102392891739244,3.708336180716037,0.01917646601255652
a_subj.53,1.541741613418843,0.3149496890161666,0.9848937150513363,1.3232490262618668,1.5344173481632815,1.7324795014954129,2.2248725477187903,0.01982598301703558
a_subj.54,3.528589403011811,0.4347515989089453,2.7205128542047,3.2309831359589083,3.538752435145293,3.8250489199214206,4.404871803695568,0.02414028264358914
a_subj.56,2.184292914219487,0.2849809772190556,1.6684167807128047,1.9781658208488737,2.1746163373738248,2.38237007734889,2.7554557404475695,0.013247948698884465
a_subj.57,2.111846201158351,0.3002848298899361,1.5481759410906841,1.9096619345500379,2.0928561622989634,2.2945252827397615,2.7745143638933576,0.014943537726843412
a_subj.58,4.088550273471428,0.439155893838952,3.2580485046100427,3.7900985479712803,4.0851390267858205,4.371935339849426,4.973294351362647,0.019866631725682433
a_subj.60,1.0588466247391708,0.10298649984471867,0.8809910251467401,0.9866287827561872,1.0517346653983537,1.1210069373781386,1.2802774285217353,0.0034990404971419206
a_subj.62,1.2177599628467994,0.09870679523096526,1.0323966467192296,1.1491218235506897,1.2153297009765482,1.2805567074402697,1.4280810070518792,0.002804220369174089
a_subj.63,2.4699188408428383,0.3866486547291046,1.7300874635620527,2.196342681043452,2.462402151906467,2.7301472810718783,3.225198162938033,0.01857167397275391
a_subj.64,1.004501568774259,0.08208712799642365,0.8589127132849098,0.9468098009907777,0.9976287605767618,1.0546537766899606,1.1935744560253296,0.002556685189355164
a_subj.65,2.128215590239863,0.337925054476357,1.516854184414957,1.8931259457669567,2.1249316533711804,2.3449222547846706,2.8245480262743774,0.01771300719068631
a_subj.66,1.9876020275084003,0.3563793492296532,1.2875235574582273,1.7358761877101234,1.9930735878992365,2.2418743871036666,2.6463484328757514,0.020751809089888905
a_subj.67,2.54066035427403,0.333032326969534,1.9481696931664758,2.3116689566421535,2.524469068759388,2.7657035099952956,3.195137826312505,0.013693452796306956
a_subj.68,2.889297222990111,0.37357855080603525,2.1932701836798674,2.6213898141316876,2.8772890351441016,3.1618163303731244,3.6527861765568974,0.019118997780789536
a_subj.69,1.6538422355016955,0.19485055056366402,1.3217766496090384,1.5126686698601342,1.6403008573420212,1.765166284376404,2.093573988275032,0.006453831210336286
